age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
43.0,Private,Masters,14.0,Never-married,Other-service,Not-in-family,White,Female,30.0,<=50K
47.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,>50K
40.0,Private,Assoc-acdm,12.0,Divorced,Other-service,Not-in-family,White,Female,40.0,<=50K
18.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,Female,20.0,<=50K
49.0,State-gov,Doctorate,16.0,Divorced,Prof-specialty,Unmarried,White,Male,50.0,>50K
23.0,Private,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,40.0,<=50K
61.0,Private,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
43.0,Private,Bachelors,13.0,Separated,Exec-managerial,Unmarried,White,Male,40.0,>50K
37.0,Private,Prof-school,15.0,Married-civ-spouse,Sales,Husband,White,Male,45.0,>50K
41.0,Local-gov,Some-college,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,45.0,>50K
52.0,Private,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,38.0,<=50K
34.0,Private,Assoc-voc,11.0,Divorced,Tech-support,Not-in-family,White,Female,64.0,<=50K
61.0,Self-emp-not-inc,11th,7.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.0,<=50K
19.0,Federal-gov,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,10.0,<=50K
42.0,Private,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
68.0,Private,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
31.0,Private,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,45.0,>50K
32.0,Private,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,40.0,<=50K
34.0,Private,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,25.0,<=50K
36.0,Private,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Male,15.0,<=50K
60.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,>50K
47.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50.0,>50K
47.0,Federal-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.0,<=50K
30.0,Private,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.0,<=50K
59.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Male,40.0,<=50K
58.0,Private,9th,5.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,<=50K
42.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,42.0,<=50K
58.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.0,>50K
33.0,Private,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Female,40.0,<=50K
37.0,Private,Some-college,10.0,Divorced,Tech-support,Unmarried,White,Female,40.0,<=50K
39.0,Private,5th-6th,3.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,<=50K
44.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,50.0,>50K
35.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,50.0,>50K
26.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,20.0,<=50K
41.0,Local-gov,Bachelors,13.0,Divorced,Protective-serv,Unmarried,White,Female,40.0,<=50K
18.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,30.0,<=50K
32.0,?,HS-grad,9.0,Married-civ-spouse,?,Husband,White,Male,5.0,<=50K
31.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Unmarried,White,Male,40.0,<=50K
20.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,30.0,<=50K
48.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,>50K
32.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40.0,>50K
45.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
36.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,48.0,>50K
34.0,Private,12th,8.0,Never-married,Adm-clerical,Unmarried,White,Female,40.0,<=50K
39.0,Private,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.0,>50K
53.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
49.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,>50K
33.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,38.0,>50K
38.0,Federal-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,<=50K
29.0,Private,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,18.0,<=50K
48.0,Private,Some-college,10.0,Never-married,Craft-repair,Not-in-family,Black,Female,40.0,<=50K
35.0,Local-gov,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,40.0,<=50K
22.0,Private,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,40.0,<=50K
54.0,State-gov,Doctorate,16.0,Never-married,Exec-managerial,Not-in-family,White,Female,40.0,>50K
45.0,Private,9th,5.0,Married-civ-spouse,Transport-moving,Husband,White,Male,40.0,<=50K
19.0,Federal-gov,HS-grad,9.0,Married-AF-spouse,Sales,Wife,White,Female,40.0,<=50K
25.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,6.0,<=50K
49.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,>50K
25.0,Private,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,78.0,<=50K
19.0,?,HS-grad,9.0,Never-married,?,Own-child,White,Male,40.0,<=50K
65.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,<=50K
36.0,Private,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,40.0,<=50K
53.0,Private,HS-grad,9.0,Never-married,Farming-fishing,Not-in-family,White,Male,10.0,<=50K
28.0,Private,7th-8th,4.0,Never-married,Adm-clerical,Own-child,White,Male,40.0,<=50K
33.0,Private,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,40.0,<=50K
19.0,?,Some-college,10.0,Never-married,?,Own-child,White,Male,40.0,<=50K
27.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,Male,22.0,<=50K
43.0,Private,HS-grad,9.0,Divorced,Other-service,Own-child,Asian-Pac-Islander,Female,40.0,<=50K
27.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,40.0,<=50K
26.0,Private,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,40.0,<=50K
32.0,Private,10th,6.0,Separated,Craft-repair,Unmarried,White,Female,40.0,<=50K
49.0,?,9th,5.0,Divorced,?,Not-in-family,White,Male,40.0,<=50K
33.0,Private,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,87.0,<=50K
17.0,Private,10th,6.0,Never-married,Other-service,Own-child,White,Male,20.0,<=50K
47.0,Private,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,40.0,<=50K
38.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,>50K
24.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Unmarried,White,Female,40.0,<=50K
45.0,Private,Some-college,10.0,Never-married,Sales,Not-in-family,Black,Male,40.0,<=50K
36.0,?,HS-grad,9.0,Married-civ-spouse,?,Husband,Black,Male,40.0,<=50K
42.0,Private,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,40.0,<=50K
66.0,?,HS-grad,9.0,Married-civ-spouse,?,Wife,White,Female,20.0,<=50K
45.0,Private,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,40.0,<=50K
33.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,52.0,<=50K
19.0,Local-gov,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,40.0,<=50K
50.0,Private,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,Black,Male,40.0,<=50K
49.0,Private,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,50.0,>50K
45.0,Private,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,45.0,<=50K
90.0,Private,HS-grad,9.0,Widowed,Transport-moving,Unmarried,White,Male,99.0,<=50K
29.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,48.0,<=50K
27.0,Private,Masters,14.0,Never-married,Sales,Own-child,White,Male,40.0,<=50K
39.0,Private,12th,8.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,<=50K
24.0,Private,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,40.0,<=50K
30.0,State-gov,Bachelors,13.0,Never-married,Prof-specialty,Other-relative,White,Male,35.0,<=50K
51.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,60.0,>50K
35.0,Private,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,<=50K
18.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,Female,15.0,<=50K
34.0,Private,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,Male,30.0,>50K
24.0,Local-gov,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,40.0,<=50K
25.0,Private,Assoc-acdm,12.0,Never-married,Handlers-cleaners,Own-child,White,Male,26.0,<=50K
45.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40.0,>50K
20.0,Private,Some-college,10.0,Separated,Craft-repair,Not-in-family,White,Male,40.0,<=50K
41.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,40.0,<=50K
37.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,<=50K
26.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,<=50K
24.0,Private,HS-grad,9.0,Never-married,Sales,Own-child,Black,Female,20.0,<=50K
33.0,Self-emp-inc,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
26.0,Private,Some-college,10.0,Never-married,Sales,Unmarried,White,Female,40.0,<=50K
49.0,Private,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,32.0,<=50K
47.0,Private,Assoc-acdm,12.0,Divorced,Transport-moving,Not-in-family,Black,Male,40.0,<=50K
37.0,Private,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40.0,>50K
26.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,<=50K
35.0,Private,HS-grad,9.0,Divorced,Handlers-cleaners,Own-child,White,Male,35.0,<=50K
44.0,Local-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
20.0,Private,Some-college,10.0,Never-married,Tech-support,Own-child,White,Male,15.0,<=50K
44.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,<=50K
38.0,Private,Some-college,10.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,40.0,<=50K
27.0,Private,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,Black,Male,40.0,<=50K
53.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,>50K
39.0,Private,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,40.0,<=50K
66.0,State-gov,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,55.0,<=50K
33.0,Private,Assoc-acdm,12.0,Married-spouse-absent,Prof-specialty,Own-child,White,Female,40.0,<=50K
38.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,55.0,<=50K
59.0,Private,9th,5.0,Married-civ-spouse,Other-service,Husband,White,Male,40.0,<=50K
37.0,Private,Assoc-acdm,12.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,>50K
37.0,Private,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,40.0,<=50K
64.0,Private,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
35.0,Federal-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
39.0,Private,11th,7.0,Never-married,Prof-specialty,Unmarried,White,Female,30.0,<=50K
32.0,Self-emp-not-inc,HS-grad,9.0,Divorced,Exec-managerial,Unmarried,White,Female,40.0,<=50K
51.0,Private,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,36.0,<=50K
58.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,40.0,<=50K
59.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,>50K
52.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,48.0,<=50K
41.0,Private,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,White,Female,40.0,<=50K
25.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,40.0,<=50K
22.0,State-gov,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Female,40.0,<=50K
40.0,State-gov,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,20.0,<=50K
55.0,Private,Masters,14.0,Married-civ-spouse,Tech-support,Husband,White,Male,20.0,>50K
39.0,Private,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,60.0,>50K
63.0,Local-gov,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,32.0,<=50K
62.0,Private,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.0,>50K
45.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,>50K
30.0,Private,Assoc-acdm,12.0,Separated,Other-service,Unmarried,White,Female,40.0,<=50K
47.0,Self-emp-not-inc,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,45.0,<=50K
22.0,Private,HS-grad,9.0,Never-married,Prof-specialty,Not-in-family,White,Female,40.0,<=50K
57.0,Private,10th,6.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,48.0,<=50K
44.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,70.0,>50K
24.0,Private,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,40.0,<=50K
32.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
24.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Unmarried,White,Male,40.0,>50K
59.0,Local-gov,Some-college,10.0,Widowed,Other-service,Not-in-family,White,Female,40.0,<=50K
26.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,Male,42.0,<=50K
25.0,Local-gov,HS-grad,9.0,Divorced,Tech-support,Unmarried,White,Female,40.0,<=50K
33.0,Private,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,40.0,<=50K
40.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,45.0,>50K
38.0,Private,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,35.0,<=50K
51.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,<=50K
24.0,Private,Some-college,10.0,Never-married,Other-service,Unmarried,Black,Female,35.0,<=50K
52.0,Private,HS-grad,9.0,Widowed,Transport-moving,Not-in-family,White,Male,40.0,<=50K
60.0,Private,5th-6th,3.0,Married-civ-spouse,Transport-moving,Husband,White,Male,40.0,<=50K
48.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.0,>50K
18.0,?,Some-college,10.0,Never-married,?,Own-child,White,Female,40.0,<=50K
24.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,40.0,<=50K
32.0,Private,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,45.0,<=50K
24.0,State-gov,Masters,14.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,20.0,<=50K
33.0,Local-gov,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,45.0,<=50K
29.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,35.0,<=50K
25.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Male,70.0,<=50K
22.0,Private,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,30.0,<=50K
64.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,35.0,<=50K
47.0,Self-emp-not-inc,Assoc-acdm,12.0,Never-married,Farming-fishing,Other-relative,White,Male,45.0,>50K
55.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,55.0,>50K
49.0,Private,Assoc-voc,11.0,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,42.0,<=50K
48.0,Self-emp-inc,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,70.0,>50K
24.0,Private,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,30.0,<=50K
59.0,State-gov,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,>50K
59.0,Private,11th,7.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.0,<=50K
38.0,State-gov,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.0,<=50K
34.0,Private,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,40.0,>50K
31.0,Private,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,44.0,>50K
43.0,Private,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48.0,>50K
43.0,Private,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,<=50K
49.0,Private,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,<=50K
29.0,State-gov,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,36.0,<=50K
18.0,Private,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,25.0,<=50K
31.0,Private,Prof-school,15.0,Divorced,Tech-support,Not-in-family,White,Female,35.0,<=50K
33.0,Private,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,40.0,<=50K
28.0,Private,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,40.0,<=50K
35.0,?,9th,5.0,Married-civ-spouse,?,Wife,White,Female,35.0,<=50K
30.0,Private,HS-grad,9.0,Never-married,Prof-specialty,Own-child,White,Female,30.0,<=50K
56.0,Private,Some-college,10.0,Separated,Tech-support,Unmarried,Black,Female,38.0,<=50K
34.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,>50K
41.0,Private,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,<=50K
19.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,30.0,<=50K
38.0,Private,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,>50K
65.0,Private,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,>50K
23.0,Private,Some-college,10.0,Separated,Sales,Unmarried,White,Female,40.0,<=50K
33.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,40.0,<=50K
55.0,Private,10th,6.0,Never-married,Other-service,Not-in-family,White,Male,29.0,<=50K
41.0,Private,HS-grad,9.0,Divorced,Sales,Unmarried,Black,Female,40.0,<=50K
35.0,Federal-gov,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,60.0,>50K
21.0,Private,7th-8th,4.0,Never-married,Farming-fishing,Own-child,White,Female,38.0,<=50K
55.0,Private,HS-grad,9.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,40.0,<=50K
18.0,Private,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,40.0,<=50K
44.0,Private,11th,7.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,>50K
32.0,Private,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,Black,Male,40.0,<=50K
61.0,Private,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,45.0,>50K
55.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,60.0,>50K
54.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,30.0,<=50K
19.0,?,Some-college,10.0,Never-married,?,Own-child,White,Male,60.0,<=50K
57.0,Private,10th,6.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,<=50K
75.0,Private,1st-4th,2.0,Married-civ-spouse,Other-service,Other-relative,Black,Female,16.0,<=50K
46.0,State-gov,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,40.0,<=50K
38.0,Private,10th,6.0,Widowed,Transport-moving,Unmarried,Black,Male,40.0,<=50K
41.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,35.0,>50K
25.0,Self-emp-not-inc,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,80.0,<=50K
24.0,Private,Bachelors,13.0,Never-married,Sales,Own-child,White,Female,40.0,<=50K
22.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,Other,Female,40.0,<=50K
59.0,Private,10th,6.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,<=50K
36.0,Private,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,40.0,<=50K
59.0,Private,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,>50K
39.0,Private,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,38.0,<=50K
25.0,Private,Bachelors,13.0,Divorced,Sales,Not-in-family,White,Female,40.0,<=50K
18.0,?,Some-college,10.0,Never-married,?,Own-child,White,Male,60.0,<=50K
37.0,Private,Assoc-voc,11.0,Separated,Prof-specialty,Unmarried,White,Female,32.0,<=50K
62.0,Private,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,84.0,<=50K
69.0,Private,HS-grad,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,40.0,<=50K
22.0,Private,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,50.0,>50K
30.0,Private,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,40.0,<=50K
59.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,60.0,<=50K
